192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,65.183.0.86,17,"UDP / DNS Qry ""b'beacons.gcp.gvt2.com.'"" "
192.168.0.2,65.183.0.86,17,"UDP / DNS Qry ""b'beacons.gcp.gvt2.com.'"" "
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https PA / Raw
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https PA / Raw
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https PA / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
65.183.0.86,192.168.0.2,17,"UDP / DNS Ans ""b'beacons-handoff.gcp.gvt2.com.'"" "
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
65.183.0.86,192.168.0.2,17,"UDP / DNS Ans ""b'beacons-handoff.gcp.gvt2.com.'"" "
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 A
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 A
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 A
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 PA / Raw
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https A
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 PA / Raw
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https A
192.168.0.2,3.217.2.93,6,TCP 192.168.0.2:55545 > 3.217.2.93:https A
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 PA / Raw
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https A
192.168.0.2,35.244.0.250,6,TCP 192.168.0.2:55162 > 35.244.0.250:https PA / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
3.217.2.93,192.168.0.2,6,TCP 3.217.2.93:https > 192.168.0.2:55545 A
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
35.244.0.250,192.168.0.2,6,TCP 35.244.0.250:https > 192.168.0.2:55162 A
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
